fhrs_id,business_name,business_type,rating_value,rating_date,new_rating_pending,address_line_3,post_code,rating_value_num,rating_value_text,rating_year,rating_month,postcode_area,rating_category
1820951,New Wave Ramen,Restaurant/Cafe/Canteen,5,2025-03-13,False,Manchester,M2 4JB,5,,2025,3,M2,Excellent
1817026,New Wave Ramen,Restaurant/Cafe/Canteen,5,2024-10-01,False,Manchester,M4 5BU,5,,2024,10,M4,Excellent
1906875,New York Krispy,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M8 5BN,,AwaitingInspection,,,M8,Unknown
1816958,New York Krispy Fried Chicken,Takeaway/sandwich shop,3,2023-12-07,False,Manchester,M19 3PW,3,,2023,12,M19,Satisfactory
1819384,New York New York also T/A Kong Coffee and Fork Yeah BBQ,Pub/bar/nightclub,5,2025-05-24,False,Manchester,M1 3LY,5,,2025,5,M1,Excellent
1831119,New York Vape Candy Shop,Retailers - other,Exempt,,False,Manchester,M20 3FQ,,Exempt,,,M20,Unknown
1820508,New Yorker,Restaurant/Cafe/Canteen,5,2022-10-28,False,Manchester,M19 1GN,5,,2022,10,M19,Excellent
1816780,New Zealand Wines,Retailers - other,1,2025-03-10,False,Manchester,M14 6LF,1,,2025,3,M14,Needs Major Improvement
1820959,Newall Green Primary School,School/college/university,5,2026-04-28,False,Manchester,M23 2YH,5,,2026,4,M23,Excellent
1819738,Newrest All Ltd,Restaurant/Cafe/Canteen,Exempt,,False,Manchester,M90 5EW,,Exempt,,,M90,Unknown
1819386,Newsmarket,Retailers - other,4,2024-10-16,False,Manchester,M8 4RA,4,,2024,10,M8,Good
1816204,Newspoint,Retailers - other,AwaitingInspection,,False,Manchester,M4 3AQ,,AwaitingInspection,,,M4,Unknown
1819040,Newton Heath Catholic Mens Club,Pub/bar/nightclub,5,2017-07-24,False,Manchester,M40 1LY,5,,2017,7,M40,Excellent
1818288,Newton Heath Community Learning Centre,Other catering premises,5,2025-09-22,False,Manchester,M40 2TP,5,,2025,9,M40,Excellent
1819545,Newton Heath Convenience Store,Retailers - other,1,2024-01-13,False,Manchester,M40 2UE,1,,2024,1,M40,Needs Major Improvement
1816972,Newton Heath Food and Wine Limited,Retailers - other,5,2021-10-26,False,Manchester,M40 2EH,5,,2021,10,M40,Excellent
1821509,Newton Heath Service Station also T/as Londis,Retailers - other,4,2024-02-20,False,Manchester,M40 0DE,4,,2024,2,M40,Good
1819337,Newton Heath Working Mens Club,Pub/bar/nightclub,5,2024-08-20,False,Manchester,M40 2JN,5,,2024,8,M40,Excellent
1819700,Next Level Lounge,Restaurant/Cafe/Canteen,2,2024-10-08,False,Manchester,M18 7EE,2,,2024,10,M18,Needs Major Improvement
1820396,Next Retail Limited,Retailers - other,Exempt,,False,Manchester,M4 3AJ,,Exempt,,,M4,Unknown
1819499,Next Step,Other catering premises,5,2024-02-27,False,Manchester,M20 3JJ,5,,2024,2,M20,Excellent
1820270,Next Steps,Hospitals/Childcare/Caring Premises,5,2019-01-07,False,Manchester,M19 2TF,5,,2019,1,M19,Excellent
1819252,Next Steps,School/college/university,5,2025-02-21,False,,,5,,2025,2,,Excellent
1923265,NEXTBAZAAR LTD,Retailers - other,AwaitingInspection,,False,Manchester,M11 2JW,,AwaitingInspection,,,M11,Unknown
1894619,Nexus Vending Solutions,Retailers - other,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1816460,NG TRADING,Retailers - other,5,2020-10-23,False,Manchester,M14 7LE,5,,2020,10,M14,Excellent
1819668,Nibble NQ,Restaurant/Cafe/Canteen,5,2025-01-31,False,Manchester,M1 1JN,5,,2025,1,M1,Excellent
1818364,Nice Nibbles party food by N&S Mcr,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1816379,NICKS FOOD AND Decor,Other catering premises,4,2025-12-08,False,,,4,,2025,12,,Good
1819446,Nicky Alliance Day Care Centre,Hospitals/Childcare/Caring Premises,5,2025-09-25,False,Manchester,M8 4JY,5,,2025,9,M8,Excellent
1906935,Nicolo,Restaurant/Cafe/Canteen,AwaitingInspection,,False,Manchester,M21 9PW,,AwaitingInspection,,,M21,Unknown
1818036,Nigeria Community Greater Manchester,Other catering premises,1,2024-09-16,False,Manchester,M14 5NE,1,,2024,9,M14,Needs Major Improvement
1818904,Night & Day Cafe Bar,Pub/bar/nightclub,4,2023-09-27,False,Manchester,M1 1JN,4,,2023,9,M1,Good
1820322,Nightingale Centre - Coffee Bar,Restaurant/Cafe/Canteen,5,2024-04-05,False,Manchester,M23 9LT,5,,2024,4,M23,Excellent
1816569,Nija Hot Hedz,Other catering premises,5,2024-03-20,False,,,5,,2024,3,,Excellent
1923289,Nila Shop,Retailers - other,AwaitingInspection,,False,Manchester,M22 4NE,,AwaitingInspection,,,M22,Unknown
1894444,NILARÉ,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1816407,Nimej,Other catering premises,5,2025-10-06,False,,,5,,2025,10,,Excellent
1943777,nimko.byash,Other catering premises,AwaitingInspection,,False,,,,AwaitingInspection,,,,Unknown
1816383,NIRALA,Retailers - other,5,2025-07-02,False,Manchester,M13 0WG,5,,2025,7,M13,Excellent
1819764,Nirala Sweets,Retailers - other,3,2023-02-28,False,Manchester,M14 5AW,3,,2023,2,M14,Satisfactory
1820266,Nisa,Retailers - other,4,2018-09-10,False,Manchester,M9 6RG,4,,2018,9,M9,Good
1816508,Nisa Local,Retailers - other,4,2025-02-27,False,Manchester,M20 1BE,4,,2025,2,M20,Good
1849362,Nisa Local,Retailers - other,1,2025-09-01,False,Manchester,M8 4WA,1,,2025,9,M8,Needs Major Improvement
1821756,Nisa Local,Retailers - other,5,2024-09-15,False,Manchester,M23 2XQ,5,,2024,9,M23,Excellent
1817403,Nisa Local Gladeside,Retailers - other,4,2024-06-11,False,Manchester,M22 7GQ,4,,2024,6,M22,Good
1820858,Nisa Today,Retailers - other,5,2024-09-14,False,Manchester,M23 0BX,5,,2024,9,M23,Excellent
